timestamp,address,values
2025-11-24T15:53:13.689034,/muse/eeg,"[800.6227106227107, 767.1794871794872, 833.2600732600733, 795.7875457875458]"
2025-11-24T15:53:13.721369,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:13.815216,/muse/eeg,"[778.4615384615385, 771.6117216117216, 288.9010989010989, 793.3699633699634]"
2025-11-24T15:53:13.907261,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:13.953796,/muse/eeg,"[796.996336996337, 780.0732600732601, 407.3626373626374, 801.8315018315019]"
2025-11-24T15:53:13.985214,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:14.046570,/muse/eeg,"[796.996336996337, 780.0732600732601, 407.3626373626374, 801.8315018315019]"
2025-11-24T15:53:14.092563,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:14.155091,/muse/eeg,"[796.996336996337, 780.0732600732601, 407.3626373626374, 801.8315018315019]"
2025-11-24T15:53:14.170364,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:14.263704,/muse/elements/alpha_absolute,"[1.1694582624693117, 0.8185540857892387, 0.9472492683000144, 0.5940557472507854]"
2025-11-24T15:53:14.340917,/muse/elements/beta_absolute,"[0.6135376932440341, 0.5993599398707254, 0.9853979264338821, 0.642817199279169]"
2025-11-24T15:53:14.433827,/muse/elements/delta_absolute,"[0.6123864615614656, 0.7325764842106957, 0.9951193641341841, 0.927456495310066]"
2025-11-24T15:53:14.480607,/muse/elements/theta_absolute,"[0.9996193302544583, 0.5221215924551393, 0.7240757446562845, 0.7107288553296518]"
2025-11-24T15:53:14.574579,/muse/elements/gamma_absolute,"[0.12305091856097049, 0.11366411689285724, 0.5136139700309592, 0.05917880183270805]"
2025-11-24T15:53:14.636967,/muse/elements/alpha_relative,"[0.43075458008627615, 0.3198274472260471, 0.23952359640232274, 0.17025291465434209]"
2025-11-24T15:53:14.714770,/muse/elements/beta_relative,"[0.11975932365384516, 0.1930730182151806, 0.2615152154619236, 0.1904829058149579]"
2025-11-24T15:53:14.775822,/muse/elements/delta_relative,"[0.11944228496168649, 0.2623844721899659, 0.26743509587853037, 0.3668557273240509]"
2025-11-24T15:53:14.869479,/muse/elements/theta_relative,"[0.2913338657903396, 0.16161558490968325, 0.14327643941486778, 0.22272433127839997]"
2025-11-24T15:53:14.931155,/muse/elements/gamma_relative,"[0.03870994550785268, 0.06309947745912316, 0.08824965284235554, 0.04968412092824916]"
2025-11-24T15:53:15.040481,/muse/is_good,"[0.0, 1.0, 0.0, 0.0]"
2025-11-24T15:53:15.102960,/muse/hsi,"[1.0, 1.0, 2.0, 1.0]"
2025-11-24T15:53:15.166003,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:15.213420,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:15.307142,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:15.291740,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:15.353222,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:15.507593,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:15.570190,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:15.646828,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:15.757265,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:15.803475,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:15.880772,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:15.943427,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:16.006130,/muse/eeg,"[775.2380952380953, 773.2234432234433, 557.6556776556777, 793.3699633699634]"
2025-11-24T15:53:16.054197,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:16.115844,/muse/drlref,"[1618974.358974359, 1596410.2564102563]"
2025-11-24T15:53:16.146784,/muse/drlref,"[1618974.358974359, 1596410.2564102563]"
2025-11-24T15:53:16.192721,/muse/drlref,"[1618974.358974359, 1596410.2564102563]"
2025-11-24T15:53:16.300809,/muse/drlref,"[1618974.358974359, 1596410.2564102563]"
2025-11-24T15:53:16.347515,/muse/drlref,"[1618974.358974359, 1596410.2564102563]"
2025-11-24T15:53:16.378228,/muse/drlref,"[1618974.358974359, 1596410.2564102563]"
2025-11-24T15:53:16.440129,/muse/gyro,"[3.701019287109375, -3.648681640625, 0.366363525390625]"
2025-11-24T15:53:16.486252,/muse/gyro,"[3.701019287109375, -3.648681640625, 0.366363525390625]"
2025-11-24T15:53:16.501723,/muse/gyro,"[3.701019287109375, -3.648681640625, 0.366363525390625]"
2025-11-24T15:53:16.579694,/muse/acc,"[0.23663330078125, -0.14959716796875, 0.96453857421875]"
2025-11-24T15:53:16.626368,/muse/acc,"[0.23663330078125, -0.14959716796875, 0.96453857421875]"
2025-11-24T15:53:16.705613,/muse/acc,"[0.23663330078125, -0.14959716796875, 0.96453857421875]"
2025-11-24T15:53:16.799750,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:16.752470,/muse/eeg,"[777.6556776556777, 767.1794871794872, 519.7802197802198, 782.893772893773]"
2025-11-24T15:53:16.879533,/muse/eeg,"[786.5201465201466, 781.6849816849817, 321.13553113553115, 789.7435897435897]"
2025-11-24T15:53:16.895417,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:16.973326,/muse/eeg,"[798.2051282051282, 782.893772893773, 458.13186813186815, 797.8021978021978]"
2025-11-24T15:53:17.051186,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:17.097922,/muse/eeg,"[790.952380952381, 769.5970695970697, 142.23443223443223, 790.5494505494506]"
2025-11-24T15:53:17.144566,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:17.252923,/muse/eeg,"[813.919413919414, 771.2087912087912, 479.0842490842491, 798.6080586080586]"
2025-11-24T15:53:17.330516,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:17.376441,/muse/eeg,"[793.3699633699634, 770.8058608058608, 463.7728937728938, 782.0879120879121]"
2025-11-24T15:53:17.469504,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:17.579349,/muse/eeg,"[793.3699633699634, 770.8058608058608, 463.7728937728938, 782.0879120879121]"
2025-11-24T15:53:17.642643,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:17.688743,/muse/eeg,"[793.3699633699634, 770.8058608058608, 463.7728937728938, 782.0879120879121]"
2025-11-24T15:53:17.783051,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:17.846400,/muse/eeg,"[793.3699633699634, 770.8058608058608, 463.7728937728938, 782.0879120879121]"
2025-11-24T15:53:17.971950,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:18.049561,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:53:18.033926,/muse/eeg,"[793.3699633699634, 770.8058608058608, 463.7728937728938, 782.0879120879121]"
2025-11-24T15:53:18.096413,/muse/eeg,"[793.3699633699634, 770.8058608058608, 463.7728937728938, 782.0879120879121]"
